version, nprocs, mean_field_time, stdev_field_time, mean_advance_time, stdev_advance_time
bufferPacking, 3072, 0.489, 0.09239408350466315, 1.31, 0.10099504938362076
orig, 3072, 1.35175, 0.019414341777836953, 3.1425, 0.025000000000000015
bufferPacking, 6144, 0.28, 0.043840620433565944, 0.97, 0.04242640687119289
orig, 6144, 1.423, 0.07495331880577395, 3.0999999999999996, 0.07071067811865482
orig, 6912, 2.377, 0.12303657992645922, 4.07, 0.1272792206135787
