version, nprocs, mean_field_time, stdev_field_time, mean_advance_time, stdev_advance_time, mean_init_time, stdev_init_time
bufferPacking, 3072, 0.4866, 0.08019538640096449, 1.308, 0.08757853618324525, 1.742, 0.06610597552415369
orig, 3072, 1.4334, 0.18334748430234868, 3.226, 0.18796276226955172, 1.71, 0.05700877125495695
bufferPacking, 6144, 0.5068, 0.2460674704222401, 1.218, 0.272066168422316, 1.298, 0.08288546314040841
orig, 6144, 1.6526, 0.24719081698153755, 3.35, 0.27595289453093275, 1.304, 0.0691375440697744
orig, 6912, 2.377, 0.12303657992645922, 4.07, 0.1272792206135787, 2.255, 0.021213203435596288
bufferPacking, 12288, 0.671, 0.0014142135623730963, 1.65, 0.0, 1.3650000000000002, 0.007071067811865481
